Doc ID,Review,Polarity
1,Crust is not good.,negative
2,Not tasty and the texture was just nasty.,negative
3,Now I am getting angry and I want my damn pho.,negative
4,Honeslty it didn't taste THAT fresh.),negative
5,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative
6,Would not go back.,negative
7,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative
8,I was disgusted because I was pretty sure that was human hair.,negative
9,I was shocked because no signs indicate cash only.,negative
10,Waitress was a little slow in service.,negative
11,"This place is not worth your time, let alone Vegas.",negative
12,did not like at all.,negative
13,The Burrittos Blah!,negative
14,such a waste,negative
15,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative
16,The worst was the salmon sashimi.,negative
17,This was like the final blow!,negative
18,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative
19,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative
20,Service sucks.,negative
21,There is not a deal good enough that would drag me into that establishment again.,negative
22,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative
23,"Frozen pucks of disgust, with some of the worst people behind the register.",negative
24,It's too bad the food is so damn generic.,negative
25,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative
26,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative
27,Not much seafood and like 5 strings of pasta at the bottom.,negative
28,"The ripped banana was not only ripped, but petrified and tasteless.",negative
29,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative
30,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative
31,The service was meh.,negative
32,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative
33,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative
34,The scallop dish is quite appalling for value as well.,negative
35,2 times - Very Bad Customer Service !,negative
36,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative
37,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
38,walked in and the place smelled like an old grease trap and only 2 others there eating.,negative
39,The turkey and roast beef were bland.,negative
40,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative
41,The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative
42,"In summary, this was a largely disappointing dining experience.",negative
43,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative
44,say bye bye to your tip lady!,negative
45,We'll never go again.,negative
46,It was not good.,negative
47,"REAL sushi lovers, let's be honest - Yama is not that good.",negative
48,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
49,It was pretty gross!,negative
50,I've had better atmosphere.,negative
51,Kind of hard to mess up a steak but they did.,negative
52,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative
53,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative
54,"Worst service to boot, but that is the least of their worries.",negative
55,"Host staff were, for lack of a better word, BITCHES!",negative
56,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative
57,I wouldn't return.,negative
58,This place is way too overpriced for mediocre food.,negative
59,The management is rude.,negative
60,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative
61,Don't do it!!!!,negative
62,The waiter wasn't helpful or friendly and rarely checked on us.,negative
63,My husband and I ate lunch here and were very disappointed with the food and service.,negative
64,And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative
65,"The menu is always changing, food quality is going down & service is extremely slow.",negative
66,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative
67,I give it 2 thumbs down,negative
68,We watched our waiter pay a lot more attention to other tables and ignore us.,negative
69,We waited for forty five minutes in vain.,negative
70,Crostini that came with the salad was stale.,negative
71,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative
72,I came back today since they relocated and still not impressed.,negative
73,Avoid at all cost!,negative
74,So don't go there if you are looking for good food...,negative
75,I've never been treated so bad.,negative
76,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,negative
77,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
78,The service here leaves a lot to be desired.,negative
79,We literally sat there for 20 minutes with no one asking to take our order.,negative
80,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative
81,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative
82,I dressed up to be treated so rudely!,negative
83,It was probably dirt.,negative
84,"The food sucked, which we expected but it sucked more than we could have imagined.",negative
85,"When my order arrived, one of the gyros was missing.",negative
86,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative
87,The live music on Fridays totally blows.,negative
88,I've never been more insulted or felt disrespected.,negative
89,The warm beer didn't help.,negative
90,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative
91,The WORST EXPERIENCE EVER.,negative
92,Must have been an off night at this place.,negative
93,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative
94,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative
95,Won't go back.,negative
96,Soggy and not good.,negative
97,Which are small and not worth the price.,negative
98,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative
99,The service was a bit lacking.,negative
100,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",negative
101,Hopefully this bodes for them going out of business and someone who can cook can come in.,negative
102,"It was either too cold, not enough flavor or just bad.",negative
103,"As for the ""mains,"" also uninspired.",negative
104,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative
105,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative
106,"If it were possible to give them zero stars, they'd have it.",negative
107,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",negative
108,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative
109,Horrible - don't waste your time and money.,negative
110,By this time our side of the restaurant was almost empty so there was no excuse.,negative
111,"(It wasn't busy either) Also, the building was FREEZING cold.",negative
112,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",negative
113,-Drinks took close to 30 minutes to come out at one point.,negative
114,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative
115,There is nothing privileged about working/eating there.,negative
116,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",negative
117,I as well would've given godfathers zero stars if possible.,negative
118,very tough and very short on flavor!,negative
119,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",negative
120,"The service was not up to par, either.",negative
121,"For a self proclaimed coffee cafe, I was wildly disappointed.",negative
122,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative
123,I think not again,negative
124,I had the mac salad and it was pretty bland so I will not be getting that again.,negative
125,Service stinks here!,negative
126,I waited and waited.,negative
127,"This place is not quality sushi, it is not a quality restaurant.",negative
128,Things that went wrong: - They burned the saganaki.,negative
129,We waited an hour for what was a breakfast I could have done 100 times better at home.,negative
130,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative
131,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,negative
132,Just don't know why they were so slow.,negative
133,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative
134,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative
135,Never again will I be dining at this place!,negative
136,Please stay away from the shrimp stir fried noodles.,negative
137,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative
138,Food was really boring.,negative
139,This greedy corporation will NEVER see another dime from me!,negative
140,"Will never, ever go back.",negative
141,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative
142,She ordered a toasted English muffin that came out untoasted.,negative
143,Never going back.,negative
144,The bus boy on the other hand was so rude.,negative
145,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",negative
146,The only downside is the service.,negative
147,"Also, the fries are without a doubt the worst fries I've ever had.",negative
148,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",negative
149,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative
150,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative
151,Everything was gross.,negative
152,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,negative
153,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative
154,There is nothing authentic about this place.,negative
155,the spaghetti is nothing special whatsoever.,negative
156,The selection was probably the worst I've seen in Vegas.....there was none.,negative
157,We sat another ten minutes and finally gave up and left.,negative
158,He was terrible!,negative
159,It shouldn't take 30 min for pancakes and eggs.,negative
160,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative
161,The buffet is small and all the food they offered was BLAND.,negative
162,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,negative
163,"I find wasting food to be despicable, but this just wasn't food.",negative
164,My wife had the Lobster Bisque soup which was lukewarm.,negative
165,I left with a stomach ache and felt sick the rest of the day.,negative
166,They dropped more than the ball.,negative
167,And the beans and rice were mediocre at best.,negative
168,I took back my money and got outta there.,negative
169,RUDE & INCONSIDERATE MANAGEMENT.,negative
170,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",negative
171,I won't be back.,negative
172,The food was terrible.,negative
173,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,negative
174,I don't recommend unless your car breaks down in front of it and you are starving.,negative
175,This place deserves one star and 90% has to do with the food.,negative
176,This is a disgrace.,negative
177,I'm probably one of the few people to ever go to Ians and not like it.,negative
178,This one is simply a disappointment.,negative
179,"Overall, I was very disappointed with the quality of food at Bouchon.",negative
180,I don't have to be an accountant to know I'm getting screwed!,negative
181,Left very frustrated.,negative
182,TOTAL WASTE OF TIME.,negative
183,"For service, I give them no stars.",negative
184,I can take a little bad service but the food sucks.,negative
185,Gave up trying to eat any of the crust (teeth still sore).,negative
186,But now I was completely grossed out.,negative
187,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",negative
188,"Furthermore, you can't even find hours of operation on the website!",negative
189,We've tried to like this place but after 10+ times I think we're done with them.,negative
190,What a mistake that was!,negative
191,Waiter was a jerk.,negative
192,"Strike 2, who wants to be rushed.",negative
193,I never come again.,negative
194,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,negative
195,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,negative
196,I'll take my business dinner dollars elsewhere.,negative
197,Nothing special.,negative
198,Will not be back.,negative
199,Sauce was tasteless.,negative
200,I don't think we'll be going back anytime soon.,negative
201,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,negative
202,I was so insulted.,negative
203,The last 3 times I had lunch here has been bad.,negative
204,The chicken wings contained the driest chicken meat I have ever eaten.,negative
205,Definitely not worth the $3 I paid.,negative
206,The manager was the worst.,negative
207,I don't think I'll be running back to Carly's anytime soon for food.,negative
208,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",negative
209,The one down note is the ventilation could use some upgrading.,negative
210,Don't waste your time here.,negative
211,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",negative
212,"Third, the cheese on my friend's burger was cold.",negative
213,We asked for the bill to leave without eating and they didn't bring that either.,negative
214,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,negative
215,The selection of food was not the best.,negative
216,I dont think I will be back for a very long time.,negative
217,"It was attached to a gas station, and that is rarely a good sign.",negative
218,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",negative
219,And then tragedy struck.,negative
220,"I'd rather eat airline food, seriously.",negative
221,I would not recommend this place.,negative
222,Overall I wasn't very impressed with Noca.,negative
223,My gyro was basically lettuce only.,negative
224,Terrible service!,negative
225,Thoroughly disappointed!,negative
226,it was a drive to get there.,negative
227,"Anyway, I do not think i will go back there.",negative
228,"A greasy, unhealthy meal.",negative
229,first time there and might just be the last.,negative
230,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",negative
231,And it was way to expensive.,negative
232,Terrible management.,negative
233,If there were zero stars I would give it zero stars.,negative
234,Worst martini ever!,negative
235,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,negative
236,I won't try going back there even if it's empty.,negative
237,"No, I'm going to eat the potato that I found some strangers hair in it.",negative
238,"not even a ""hello, we will be right with you.""",negative
