Doc ID,Review,Polarity
1,Wow... Loved this place.,positive
2,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive
3,The selection on the menu was great and so were the prices.,positive
4,The fries were great too.,positive
5,A great touch.,positive
6,Service was very prompt.,positive
7,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",positive
8,Highly recommended.,positive
9,"The food, amazing.",positive
10,Service is also cute.,positive
11,I could care less... The interior is just beautiful.,positive
12,So they performed.,positive
13,That's right....the red velvet cake.....ohhh this stuff is so good.,positive
14,"This hole in the wall has great Mexican street tacos, and friendly staff.",positive
15,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive
16,I found this place by accident and I could not be happier.,positive
17,"Overall, I like this place a lot.",positive
18,The only redeeming quality of the restaurant was that it was very inexpensive.,positive
19,Ample portions and good prices.,positive
20,My first visit to Hiro was a delight!,positive
21,The shrimp tender and moist.,positive
22,"On a positive note, our server was very attentive and provided great service.",positive
23,The only thing I did like was the prime rib and dessert section.,positive
24,"The burger is good beef, cooked just right.",positive
25,If you want a sandwich just go to any Firehouse!!!!!,positive
26,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive
27,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive
28,He came running after us when he realized my husband had left his sunglasses on the table.,positive
29,Their chow mein is so good!,positive
30,The portion was huge!,positive
31,"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive
32,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive
33,This place receives stars for their APPETIZERS!!!,positive
34,The cocktails are all handmade and delicious.,positive
35,We'd definitely go back here again.,positive
36,We are so glad we found this place.,positive
37,"Great food and service, huge portions and they give a military discount.",positive
38,Always a great time at Dos Gringos!,positive
39,Update.....went back for a second time and it was still just as amazing,positive
40,A great way to finish a great.,positive
41,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive
42,DELICIOUS,positive
43,The sweet potato fries were very good and seasoned well.,positive
44,Today is the second time I've been to their lunch buffet and it was pretty good.,positive
